uf,cidade,ativas,inativas,taxa_mortalidade
AM,NOVA OLINDA DO NORTE,0.0,1.0,1.0
AM,NOVO AIRAO,0.0,2.0,1.0
AM,NOVO ARIPUANA,0.0,2.0,1.0
AM,PARINTINS,6.0,9.0,0.6
AM,PRESIDENTE FIGUEIREDO,3.0,8.0,0.7272727272727273
AM,RIO PRETO DA EVA,0.0,4.0,1.0
AM,SANTA ISABEL DO RIO NEGRO,0.0,1.0,1.0
AM,SANTO ANTONIO DO ICA,0.0,1.0,1.0
AM,SAO GABRIEL DA CACHOEIRA,1.0,4.0,0.8
AM,SAO PAULO DE OLIVENCA,1.0,0.0,0.0
AM,SAO SEBASTIAO DO UATUMA,1.0,0.0,0.0
AM,TABATINGA,5.0,5.0,0.5
AM,TAPAUA,1.0,1.0,0.5
AM,TEFE,3.0,1.0,0.25
AM,UARINI,0.0,1.0,1.0
AM,URUCURITUBA,1.0,0.0,0.0
AP,AMAPA,0.0,1.0,1.0
AP,ITAUBAL,0.0,1.0,1.0
AP,LARANJAL DO JARI,2.0,2.0,0.5
AP,MACAPA,32.0,100.0,0.7575757575757576
AP,MAZAGAO,0.0,1.0,1.0
AP,OIAPOQUE,3.0,3.0,0.5
AP,PEDRA BRANCA DO AMAPARI,1.0,1.0,0.5
AP,PORTO GRANDE,2.0,1.0,0.3333333333333333
AP,SANTANA,6.0,11.0,0.6470588235294118
AP,SERRA DO NAVIO,0.0,1.0,1.0
AP,TARTARUGALZINHO,1.0,1.0,0.5
BA,ABARE,0.0,3.0,1.0
BA,ACAJUTIBA,0.0,2.0,1.0
BA,ADUSTINA,2.0,1.0,0.3333333333333333
BA,ALAGOINHAS,12.0,32.0,0.7272727272727273
BA,ALCOBACA,1.0,5.0,0.8333333333333334
BA,ALMADINA,1.0,0.0,0.0
BA,AMARGOSA,2.0,6.0,0.75
BA,AMELIA RODRIGUES,3.0,4.0,0.5714285714285714
BA,AMERICA DOURADA,0.0,1.0,1.0
BA,ANAGE,0.0,1.0,1.0
BA,ANDARAI,3.0,0.0,0.0
BA,ANGICAL,0.0,1.0,1.0
BA,ANTAS,0.0,1.0,1.0
BA,ANTONIO GONCALVES,1.0,1.0,0.5
BA,APORA,2.0,0.0,0.0
BA,APUAREMA,0.0,1.0,1.0
BA,ARACAS,0.0,3.0,1.0
BA,ARACATU,0.0,2.0,1.0
BA,ARACI,1.0,0.0,0.0
BA,ARAMARI,0.0,1.0,1.0
BA,ARATACA,0.0,1.0,1.0
BA,AURELINO LEAL,0.0,2.0,1.0
BA,BAIXA GRANDE,0.0,2.0,1.0
BA,BARRA,0.0,5.0,1.0
BA,BARRA DA ESTIVA,1.0,1.0,0.5
BA,BARRA DO CHOCA,0.0,1.0,1.0
BA,BARREIRAS,11.0,33.0,0.75
BA,BARRO PRETO,0.0,1.0,1.0
BA,BELMONTE,1.0,1.0,0.5
BA,BELO CAMPO,1.0,0.0,0.0
BA,BIRITINGA,1.0,1.0,0.5
BA,BOA VISTA DO TUPIM,3.0,0.0,0.0
BA,BOM JESUS DA LAPA,5.0,4.0,0.4444444444444444
BA,BONINAL,0.0,1.0,1.0
BA,BONITO,0.0,1.0,1.0
BA,BREJOLANDIA,0.0,1.0,1.0
BA,BRUMADO,4.0,6.0,0.6
BA,BUERAREMA,2.0,2.0,0.5
BA,BURITIRAMA,1.0,0.0,0.0
BA,CABACEIRAS DO PARAGUACU,0.0,1.0,1.0
BA,CACHOEIRA,1.0,3.0,0.75
BA,CACULE,2.0,2.0,0.5
BA,CAETITE,3.0,5.0,0.625
BA,CAFARNAUM,1.0,1.0,0.5
BA,CAIRU,7.0,12.0,0.631578947368421
BA,CAMACAN,0.0,2.0,1.0
BA,CAMACARI,27.0,65.0,0.7065217391304348
BA,CAMAMU,0.0,2.0,1.0
BA,CAMPO ALEGRE DE LOURDES,1.0,0.0,0.0
BA,CAMPO FORMOSO,3.0,3.0,0.5
BA,CANAPOLIS,0.0,1.0,1.0
BA,CANARANA,1.0,0.0,0.0
BA,CANAVIEIRAS,4.0,4.0,0.5
BA,CANDEAL,0.0,1.0,1.0
BA,CANDEIAS,5.0,11.0,0.6875
BA,CANDIDO SALES,3.0,2.0,0.4
BA,CANUDOS,0.0,1.0,1.0
BA,CAPELA DO ALTO ALEGRE,2.0,1.0,0.3333333333333333
BA,CAPIM GROSSO,2.0,1.0,0.3333333333333333
BA,CARAIBAS,0.0,3.0,1.0
BA,CARAVELAS,0.0,4.0,1.0
BA,CARINHANHA,2.0,3.0,0.6
BA,CASA NOVA,1.0,0.0,0.0
BA,CASTRO ALVES,0.0,3.0,1.0
BA,CATU,2.0,3.0,0.6
BA,CATURAMA,1.0,0.0,0.0
BA,CENTRAL,0.0,1.0,1.0
BA,CHORROCHO,2.0,0.0,0.0
BA,CICERO DANTAS,1.0,1.0,0.5
BA,COARACI,0.0,1.0,1.0
BA,COCOS,0.0,1.0,1.0
BA,CONCEICAO DA FEIRA,1.0,1.0,0.5
BA,CONCEICAO DO COITE,5.0,5.0,0.5
BA,CONCEICAO DO JACUIPE,3.0,6.0,0.6666666666666666
BA,CONDE,0.0,3.0,1.0
BA,CONDEUBA,2.0,0.0,0.0
BA,CONTENDAS DO SINCORA,0.0,1.0,1.0
BA,CORACAO DE MARIA,3.0,0.0,0.0
BA,CORDEIROS,0.0,1.0,1.0
BA,CORIBE,0.0,1.0,1.0
BA,CORONEL JOAO SA,2.0,0.0,0.0
BA,CORRENTINA,5.0,3.0,0.375
BA,COTEGIPE,0.0,1.0,1.0
BA,CRISOPOLIS,0.0,1.0,1.0
BA,CRUZ DAS ALMAS,5.0,10.0,0.6666666666666666
BA,CURACA,3.0,2.0,0.4
BA,DIAS D'AVILA,8.0,17.0,0.68
BA,DOM BASILIO,1.0,0.0,0.0
BA,DOM MACEDO COSTA,0.0,1.0,1.0
BA,ELISIO MEDRADO,0.0,1.0,1.0
BA,ENCRUZILHADA,0.0,2.0,1.0
BA,ENTRE RIOS,3.0,5.0,0.625
BA,ESPLANADA,3.0,2.0,0.4
BA,EUCLIDES DA CUNHA,2.0,3.0,0.6
BA,EUNAPOLIS,9.0,21.0,0.7
BA,FATIMA,1.0,1.0,0.5
BA,FEIRA DE SANTANA,75.0,115.0,0.6052631578947368
BA,FILADELFIA,1.0,0.0,0.0
BA,FIRMINO ALVES,0.0,1.0,1.0
BA,FORMOSA DO RIO PRETO,1.0,2.0,0.6666666666666666
BA,GANDU,2.0,6.0,0.75
BA,GLORIA,4.0,0.0,0.0
BA,GONGOGI,0.0,1.0,1.0
BA,GOVERNADOR MANGABEIRA,1.0,1.0,0.5
BA,GUANAMBI,9.0,13.0,0.5909090909090909
BA,HELIOPOLIS,1.0,1.0,0.5
BA,IACU,2.0,0.0,0.0
BA,IBIASSUCE,1.0,0.0,0.0
BA,IBICARAI,2.0,4.0,0.6666666666666666
BA,IBICOARA,0.0,1.0,1.0
BA,IBICUI,0.0,1.0,1.0
BA,IBIPEBA,0.0,1.0,1.0
BA,IBIPITANGA,2.0,0.0,0.0
BA,IBIRAPITANGA,0.0,1.0,1.0
BA,IBIRAPUA,0.0,1.0,1.0
BA,IBIRATAIA,1.0,1.0,0.5
BA,IBOTIRAMA,0.0,3.0,1.0
BA,IGUAI,0.0,1.0,1.0
BA,ILHEUS,29.0,43.0,0.5972222222222222
BA,INHAMBUPE,0.0,2.0,1.0
BA,IPIAU,5.0,6.0,0.5454545454545454
BA,IPIRA,2.0,4.0,0.6666666666666666
BA,IPUPIARA,0.0,1.0,1.0
BA,IRAJUBA,1.0,1.0,0.5
BA,IRAMAIA,0.0,2.0,1.0
BA,IRAQUARA,1.0,2.0,0.6666666666666666
BA,IRARA,1.0,1.0,0.5
BA,IRECE,7.0,10.0,0.5882352941176471
BA,ITABELA,0.0,1.0,1.0
BA,ITABERABA,6.0,10.0,0.625
BA,ITABUNA,22.0,42.0,0.65625
BA,ITACARE,2.0,12.0,0.8571428571428571
BA,ITAETE,0.0,3.0,1.0
BA,ITAGI,0.0,1.0,1.0
BA,ITAGIBA,1.0,0.0,0.0
BA,ITAGIMIRIM,1.0,0.0,0.0
BA,ITAGUACU DA BAHIA,2.0,0.0,0.0
BA,ITAJU DO COLONIA,1.0,1.0,0.5
BA,ITAJUIPE,0.0,1.0,1.0
BA,ITAMARAJU,2.0,9.0,0.8181818181818182
BA,ITAMARI,1.0,0.0,0.0
BA,ITAMBE,2.0,3.0,0.6
BA,ITANHEM,0.0,2.0,1.0
BA,ITAPARICA,1.0,3.0,0.75
BA,ITAPE,0.0,1.0,1.0
BA,ITAPEBI,1.0,2.0,0.6666666666666666
BA,ITAPETINGA,9.0,9.0,0.5
BA,ITAPITANGA,2.0,0.0,0.0
BA,ITAQUARA,0.0,2.0,1.0
BA,ITARANTIM,0.0,3.0,1.0
BA,ITATIM,0.0,2.0,1.0
BA,ITIRUCU,0.0,3.0,1.0
BA,ITIUBA,1.0,5.0,0.8333333333333334
BA,ITORORO,0.0,3.0,1.0
BA,ITUACU,0.0,1.0,1.0
BA,ITUBERA,2.0,3.0,0.6
BA,IUIU,0.0,2.0,1.0
BA,JACARACI,0.0,1.0,1.0
BA,JACOBINA,5.0,16.0,0.7619047619047619
BA,JAGUAQUARA,2.0,3.0,0.6
BA,JAGUARARI,2.0,5.0,0.7142857142857143
BA,JANDAIRA,0.0,1.0,1.0
BA,JEQUIE,8.0,31.0,0.7948717948717948
BA,JEREMOABO,3.0,2.0,0.4
BA,JOAO DOURADO,0.0,3.0,1.0
BA,JUAZEIRO,20.0,33.0,0.6226415094339622
BA,LAJE,0.0,1.0,1.0
BA,LAJEDAO,0.0,1.0,1.0
BA,LAPAO,0.0,2.0,1.0
BA,LAURO DE FREITAS,31.0,65.0,0.6770833333333334
BA,LENCOIS,2.0,2.0,0.5
BA,LIVRAMENTO DE NOSSA SENHORA,2.0,2.0,0.5
BA,LUIS EDUARDO MAGALHAES,16.0,15.0,0.4838709677419355
BA,MACARANI,0.0,2.0,1.0
BA,MACAUBAS,1.0,4.0,0.8
BA,MADRE DE DEUS,3.0,4.0,0.5714285714285714
BA,MAIRI,1.0,4.0,0.8
BA,MANOEL VITORINO,1.0,1.0,0.5
BA,MARACAS,2.0,2.0,0.5
BA,MARAGOGIPE,2.0,5.0,0.7142857142857143
BA,MARAU,4.0,6.0,0.6
BA,MARCIONILIO SOUZA,1.0,1.0,0.5
BA,MASCOTE,0.0,1.0,1.0
BA,MATA DE SAO JOAO,8.0,12.0,0.6
BA,MEDEIROS NETO,3.0,1.0,0.25
BA,MIGUEL CALMON,0.0,2.0,1.0
BA,MILAGRES,0.0,3.0,1.0
BA,MIRANGABA,1.0,0.0,0.0
BA,MIRANTE,1.0,0.0,0.0
BA,MONTE SANTO,1.0,0.0,0.0
BA,MORPARA,0.0,1.0,1.0
BA,MORRO DO CHAPEU,4.0,2.0,0.3333333333333333
BA,MUCUGE,1.0,0.0,0.0
BA,MUCURI,4.0,14.0,0.7777777777777778
BA,MULUNGU DO MORRO,1.0,0.0,0.0
BA,MUNDO NOVO,0.0,2.0,1.0
BA,MUNIZ FERREIRA,1.0,0.0,0.0
BA,MURITIBA,0.0,2.0,1.0
BA,MUTUIPE,3.0,1.0,0.25
BA,NAZARE,1.0,2.0,0.6666666666666666
BA,NILO PECANHA,1.0,0.0,0.0
BA,NOVA FATIMA,0.0,1.0,1.0
BA,NOVA REDENCAO,0.0,1.0,1.0
BA,NOVA SOURE,1.0,2.0,0.6666666666666666
BA,NOVA VICOSA,6.0,7.0,0.5384615384615384
BA,NOVO TRIUNFO,0.0,1.0,1.0
BA,OLINDINA,1.0,1.0,0.5
BA,OLIVEIRA DOS BREJINHOS,3.0,3.0,0.5
BA,OURICANGAS,1.0,0.0,0.0
BA,OUROLANDIA,0.0,1.0,1.0
BA,PALMEIRAS,1.0,2.0,0.6666666666666666
BA,PARAMIRIM,1.0,0.0,0.0
BA,PARATINGA,1.0,0.0,0.0
BA,PARIPIRANGA,0.0,1.0,1.0
BA,PAULO AFONSO,8.0,20.0,0.7142857142857143
BA,PEDRAO,0.0,1.0,1.0
BA,PEDRO ALEXANDRE,0.0,1.0,1.0
BA,PIATA,1.0,0.0,0.0
BA,PILAO ARCADO,2.0,1.0,0.3333333333333333
BA,PINDOBACU,1.0,1.0,0.5
BA,PINTADAS,1.0,0.0,0.0
BA,PIRIPA,2.0,0.0,0.0
BA,PIRITIBA,2.0,2.0,0.5
BA,PLANALTO,1.0,0.0,0.0
BA,POCOES,2.0,5.0,0.7142857142857143
BA,POJUCA,4.0,5.0,0.5555555555555556
BA,PORTO SEGURO,41.0,43.0,0.5119047619047619
BA,POTIRAGUA,1.0,0.0,0.0
BA,PRADO,4.0,8.0,0.6666666666666666
BA,PRESIDENTE DUTRA,1.0,0.0,0.0
BA,PRESIDENTE TANCREDO NEVES,0.0,3.0,1.0
BA,QUEIMADAS,2.0,1.0,0.3333333333333333
BA,QUIJINGUE,1.0,1.0,0.5
BA,REMANSO,2.0,7.0,0.7777777777777778
BA,RETIROLANDIA,1.0,0.0,0.0
BA,RIACHAO DAS NEVES,0.0,2.0,1.0
BA,RIACHAO DO JACUIPE,1.0,3.0,0.75
BA,RIACHO DE SANTANA,2.0,0.0,0.0
BA,RIBEIRA DO AMPARO,1.0,0.0,0.0
BA,RIBEIRA DO POMBAL,1.0,4.0,0.8
BA,RIBEIRAO DO LARGO,1.0,0.0,0.0
BA,RIO DE CONTAS,2.0,2.0,0.5
BA,RIO REAL,1.0,1.0,0.5
BA,RUY BARBOSA,1.0,0.0,0.0
BA,SALINAS DA MARGARIDA,1.0,1.0,0.5
BA,SALVADOR,322.0,826.0,0.7195121951219512
BA,SANTA BARBARA,2.0,1.0,0.3333333333333333
BA,SANTA CRUZ CABRALIA,8.0,11.0,0.5789473684210527
BA,SANTA INES,0.0,4.0,1.0
BA,SANTA LUZIA,1.0,1.0,0.5
BA,SANTA MARIA DA VITORIA,2.0,3.0,0.6
BA,SANTA RITA DE CASSIA,1.0,2.0,0.6666666666666666
BA,SANTALUZ,3.0,2.0,0.4
BA,SANTANA,2.0,1.0,0.3333333333333333
BA,SANTANOPOLIS,0.0,1.0,1.0
BA,SANTO AMARO,7.0,15.0,0.6818181818181818
BA,SANTO ANTONIO DE JESUS,8.0,18.0,0.6923076923076923
BA,SANTO ESTEVAO,4.0,5.0,0.5555555555555556
BA,SAO DESIDERIO,1.0,2.0,0.6666666666666666
BA,SAO FELIPE,2.0,4.0,0.6666666666666666
BA,SAO FELIX,1.0,3.0,0.75
BA,SAO FELIX DO CORIBE,0.0,1.0,1.0
BA,SAO FRANCISCO DO CONDE,1.0,5.0,0.8333333333333334
BA,SAO GABRIEL,1.0,0.0,0.0
BA,SAO GONCALO DOS CAMPOS,0.0,2.0,1.0
BA,SAO SEBASTIAO DO PASSE,4.0,5.0,0.5555555555555556
BA,SAPEACU,1.0,1.0,0.5
BA,SATIRO DIAS,1.0,2.0,0.6666666666666666
BA,SAUBARA,0.0,1.0,1.0
BA,SAUDE,1.0,1.0,0.5
BA,SEABRA,1.0,3.0,0.75
BA,SENHOR DO BONFIM,8.0,9.0,0.5294117647058824
BA,SENTO SE,0.0,2.0,1.0
BA,SERRA DO RAMALHO,1.0,2.0,0.6666666666666666
BA,SERRA DOURADA,1.0,3.0,0.75
BA,SERRA PRETA,0.0,1.0,1.0
BA,SERRINHA,3.0,9.0,0.75
BA,SIMOES FILHO,18.0,17.0,0.4857142857142857
BA,SITIO DO QUINTO,0.0,1.0,1.0
BA,SOBRADINHO,1.0,3.0,0.75
BA,TANHACU,3.0,2.0,0.4
BA,TANQUINHO,2.0,1.0,0.3333333333333333
BA,TAPEROA,2.0,1.0,0.3333333333333333
BA,TAPIRAMUTA,0.0,1.0,1.0
BA,TEIXEIRA DE FREITAS,13.0,21.0,0.6176470588235294
BA,TEOFILANDIA,0.0,1.0,1.0
BA,TERRA NOVA,2.0,2.0,0.5
BA,TREMEDAL,1.0,0.0,0.0
BA,TUCANO,3.0,6.0,0.6666666666666666
BA,UAUA,1.0,3.0,0.75
BA,UBAIRA,1.0,0.0,0.0
BA,UBAITABA,2.0,7.0,0.7777777777777778
BA,UBATA,1.0,3.0,0.75
BA,UMBURANAS,0.0,2.0,1.0
BA,UNA,1.0,2.0,0.6666666666666666
BA,URANDI,3.0,0.0,0.0
BA,URUCUCA,0.0,3.0,1.0
BA,VALENCA,7.0,2.0,0.2222222222222222
BA,VARZEA DA ROCA,0.0,3.0,1.0
BA,VARZEA DO POCO,0.0,2.0,1.0
BA,VARZEA NOVA,0.0,1.0,1.0
BA,VARZEDO,1.0,0.0,0.0
BA,VERA CRUZ,3.0,11.0,0.7857142857142857
BA,VEREDA,1.0,0.0,0.0
BA,VITORIA DA CONQUISTA,47.0,77.0,0.6209677419354839
BA,WENCESLAU GUIMARAES,1.0,0.0,0.0
BA,XIQUE-XIQUE,1.0,5.0,0.8333333333333334
CE,ACARAPE,1.0,1.0,0.5
CE,ACARAU,0.0,5.0,1.0
CE,ACOPIARA,1.0,4.0,0.8
CE,AIUABA,3.0,1.0,0.25
CE,ALTO SANTO,0.0,1.0,1.0
CE,ANTONINA DO NORTE,0.0,2.0,1.0
CE,AQUIRAZ,3.0,10.0,0.7692307692307693
CE,ARACATI,6.0,23.0,0.7931034482758621
CE,ARACOIABA,0.0,3.0,1.0
CE,ARARIPE,1.0,0.0,0.0
CE,AURORA,1.0,0.0,0.0
CE,BANABUIU,2.0,0.0,0.0
CE,BARBALHA,4.0,12.0,0.75
CE,BARREIRA,0.0,1.0,1.0
CE,BARRO,0.0,1.0,1.0
CE,BATURITE,3.0,4.0,0.5714285714285714
CE,BEBERIBE,7.0,4.0,0.36363636363636365
CE,BELA CRUZ,5.0,2.0,0.2857142857142857
CE,BOA VIAGEM,5.0,2.0,0.2857142857142857
CE,BREJO SANTO,2.0,5.0,0.7142857142857143
CE,CAMOCIM,5.0,4.0,0.4444444444444444
CE,CAMPOS SALES,2.0,2.0,0.5
CE,CANINDE,6.0,5.0,0.45454545454545453
CE,CAPISTRANO,0.0,2.0,1.0
CE,CARIDADE,1.0,1.0,0.5
CE,CARIRIACU,1.0,0.0,0.0
CE,CARIUS,0.0,1.0,1.0
CE,CARNAUBAL,0.0,1.0,1.0
CE,CASCAVEL,4.0,10.0,0.7142857142857143
CE,CATARINA,1.0,2.0,0.6666666666666666
CE,CATUNDA,2.0,0.0,0.0
CE,CAUCAIA,23.0,52.0,0.6933333333333334
CE,CEDRO,0.0,1.0,1.0
CE,CHOROZINHO,1.0,0.0,0.0
CE,COREAU,1.0,2.0,0.6666666666666666
CE,CRATEUS,5.0,8.0,0.6153846153846154
CE,CRATO,7.0,23.0,0.7666666666666667
CE,CROATA,1.0,3.0,0.75
CE,CRUZ,3.0,3.0,0.5
CE,DEPUTADO IRAPUAN PINHEIRO,0.0,1.0,1.0
CE,EUSEBIO,6.0,10.0,0.625
CE,FARIAS BRITO,0.0,1.0,1.0
CE,FORQUILHA,2.0,2.0,0.5
CE,FORTALEZA,329.0,674.0,0.6719840478564307
CE,FORTIM,2.0,3.0,0.6
CE,FRECHEIRINHA,1.0,1.0,0.5
CE,GENERAL SAMPAIO,0.0,1.0,1.0
CE,GRANJA,3.0,3.0,0.5
CE,GROAIRAS,0.0,3.0,1.0
CE,GUAIUBA,1.0,2.0,0.6666666666666666
CE,GUARACIABA DO NORTE,4.0,3.0,0.42857142857142855
CE,GUARAMIRANGA,2.0,0.0,0.0
CE,HIDROLANDIA,1.0,1.0,0.5
CE,HORIZONTE,7.0,11.0,0.6111111111111112
CE,IBIAPINA,1.0,5.0,0.8333333333333334
CE,ICAPUI,3.0,1.0,0.25
CE,ICO,2.0,4.0,0.6666666666666666
CE,IGUATU,9.0,13.0,0.5909090909090909
CE,INDEPENDENCIA,1.0,3.0,0.75
CE,IPU,4.0,6.0,0.6
CE,IPUEIRAS,2.0,3.0,0.6
CE,IRAUCUBA,2.0,2.0,0.5
CE,ITAICABA,1.0,1.0,0.5
CE,ITAITINGA,6.0,6.0,0.5
CE,ITAPAJE,6.0,5.0,0.45454545454545453
CE,ITAPIPOCA,8.0,10.0,0.5555555555555556
CE,ITAPIUNA,0.0,1.0,1.0
CE,ITAREMA,0.0,3.0,1.0
CE,ITATIRA,1.0,1.0,0.5
CE,JAGUARIBARA,0.0,2.0,1.0
CE,JAGUARIBE,2.0,5.0,0.7142857142857143
CE,JAGUARUANA,0.0,4.0,1.0
CE,JIJOCA DE JERICOACOARA,8.0,16.0,0.6666666666666666
CE,JUAZEIRO DO NORTE,29.0,36.0,0.5538461538461539
CE,JUCAS,2.0,1.0,0.3333333333333333
CE,LAVRAS DA MANGABEIRA,0.0,1.0,1.0
CE,LIMOEIRO DO NORTE,0.0,7.0,1.0
CE,MADALENA,0.0,2.0,1.0
CE,MARACANAU,14.0,48.0,0.7741935483870968
CE,MARANGUAPE,7.0,22.0,0.7586206896551724
CE,MARCO,0.0,3.0,1.0
CE,MASSAPE,2.0,0.0,0.0
CE,MAURITI,1.0,4.0,0.8
CE,MERUOCA,2.0,1.0,0.3333333333333333
CE,MIRAIMA,1.0,0.0,0.0
CE,MISSAO VELHA,1.0,1.0,0.5
CE,MOMBACA,0.0,1.0,1.0
CE,MONSENHOR TABOSA,0.0,1.0,1.0
CE,MORADA NOVA,4.0,4.0,0.5
CE,MUCAMBO,0.0,1.0,1.0
